"_id","updated_at","environment","time","layername","mission","product"
"ObjectID(""6940235a520d96b5a7873ca7"")",2025-12-15 16:03:25.386,OPE,2025-12-15 06:44:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873ca8"")",2025-12-15 16:03:25.386,OPE,2025-12-15 07:22:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873ca9"")",2025-12-15 16:03:25.386,OPE,2025-12-15 08:25:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873caa"")",2025-12-15 16:03:25.386,OPE,2025-12-15 09:03:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873cab"")",2025-12-15 16:03:25.386,OPE,2025-12-15 10:06:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873cac"")",2025-12-15 16:03:25.386,OPE,2025-12-15 10:44:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873cad"")",2025-12-15 16:03:25.386,OPE,2025-12-15 11:47:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873cae"")",2025-12-15 16:03:25.386,OPE,2025-12-15 12:25:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873d03"")",2025-12-15 16:03:25.386,OPE,2025-12-14 16:48:00,copernicus:sentinel3a_olci_l1_rgb_fullres,copernicus,sentinel3a_olci_l1_rgb_fullres
"ObjectID(""6940235a520d96b5a7873d04"")",2025-12-15 16:03:25.386,OPE,2025-12-14 18:29:00,copernicus:sentinel3a_olci_l1_rgb_fullres,copernicus,sentinel3a_olci_l1_rgb_fullres
"ObjectID(""6940235a520d96b5a7873d05"")",2025-12-15 16:03:25.386,OPE,2025-12-14 20:10:00,copernicus:sentinel3a_olci_l1_rgb_fullres,copernicus,sentinel3a_olci_l1_rgb_fullres
"ObjectID(""6940235a520d96b5a7873d06"")",2025-12-15 16:03:25.386,OPE,2025-12-14 21:51:00,copernicus:sentinel3a_olci_l1_rgb_fullres,copernicus,sentinel3a_olci_l1_rgb_fullres
"ObjectID(""6940235a520d96b5a7873d07"")",2025-12-15 16:03:25.386,OPE,2025-12-14 23:32:00,copernicus:sentinel3a_olci_l1_rgb_fullres,copernicus,sentinel3a_olci_l1_rgb_fullres
"ObjectID(""6940235a520d96b5a7873d08"")",2025-12-15 16:03:25.386,OPE,2025-12-15 01:13:00,copernicus:sentinel3a_olci_l1_rgb_fullres,copernicus,sentinel3a_olci_l1_rgb_fullres
"ObjectID(""6940235a520d96b5a7873d09"")",2025-12-15 16:03:25.386,OPE,2025-12-15 02:54:00,copernicus:sentinel3a_olci_l1_rgb_fullres,copernicus,sentinel3a_olci_l1_rgb_fullres
"ObjectID(""6940235a520d96b5a7873d0a"")",2025-12-15 16:03:25.386,OPE,2025-12-15 04:35:00,copernicus:sentinel3a_olci_l1_rgb_fullres,copernicus,sentinel3a_olci_l1_rgb_fullres
"ObjectID(""6940235a520d96b5a7873d0b"")",2025-12-15 16:03:25.386,OPE,2025-12-15 06:16:00,copernicus:sentinel3a_olci_l1_rgb_fullres,copernicus,sentinel3a_olci_l1_rgb_fullres
"ObjectID(""6940235a520d96b5a7873d0c"")",2025-12-15 16:03:25.386,OPE,2025-12-15 07:57:00,copernicus:sentinel3a_olci_l1_rgb_fullres,copernicus,sentinel3a_olci_l1_rgb_fullres
"ObjectID(""6940235a520d96b5a7873d0d"")",2025-12-15 16:03:25.386,OPE,2025-12-15 09:38:00,copernicus:sentinel3a_olci_l1_rgb_fullres,copernicus,sentinel3a_olci_l1_rgb_fullres
